text,label,clear_text,bigram_text
Ну а как же без фабрики звёзд?,neutral,"['ну', 'фабрика', 'звезда']","['ну', 'фабрика', 'звезда']"
с телефона. но как то так...,neutral,['телефон'],['телефон']
строить из себя трезвого перед родителями - это искусство.(с),neutral,"['строить', 'трезвый', 'родитель', 'этот', 'искусство']","['строить', 'трезвый', 'родитель', 'этот', 'искусство']"
"Ходят упорные слухи, что Ельцин при своем вступлении в должность должен был поклясться соблюдать и защищать свеженаписанную Конституцию Российской Федерации, положив руку на эту самую Конституцию. Свеженаписанная конституция на поверку оказалось довольно тонкой книженцией, и принимать присягу перед народом было немного некошерно. Единственной толстой книгой поблизости оказалась «Незнайка на Луне», купленная одним из телеоператоров для своих детей. (Из статьи на Lurkmore).
Добавлю, что автор книги Николай Носов умер в 1976 году.",neutral,"['ходить', 'упорный', 'слух', 'ельцин', 'свой', 'вступление', 'должность', 'должный', 'поклясться', 'соблюдать', 'защищать', 'свеженаписанный', 'конституция', 'российский', 'федерация', 'полагать', 'рука', 'самый', 'конституция', 'свеженаписанный', 'конституция', 'поверка', 'оказываться', 'довольно', 'тонкий', 'книженция', 'принимать', 'присяга', 'народ', 'немного', 'некошерный', 'единственный', 'толстый', 'книга', 'поблизости', 'оказываться', 'незнайка', 'луна', 'купить', 'один', 'телеоператор', 'свой', 'ребенок', 'из', 'статья', 'добавлять', 'автор', 'книга', 'николай', 'нос', 'умирать', 'год']","['ходить', 'упорный', 'слух', 'ельцин', 'свой', 'вступление', 'должность', 'должный', 'поклясться', 'соблюдать', 'защищать', 'свеженаписанный', 'конституция', 'российский_федерация', 'полагать', 'рука', 'самый', 'конституция', 'свеженаписанный', 'конституция', 'поверка', 'оказываться', 'довольно', 'тонкий', 'книженция', 'принимать', 'присяга', 'народ', 'немного', 'некошерный', 'единственный', 'толстый', 'книга', 'поблизости', 'оказываться', 'незнайка', 'луна', 'купить', 'один', 'телеоператор', 'свой', 'ребенок', 'из', 'статья', 'добавлять', 'автор', 'книга', 'николай', 'нос', 'умирать', 'год']"
"Немного толерантности и любви от Иисуса...❤😇
",positive,"['немного', 'толерантность', 'любовь', 'иисус']","['немного', 'толерантность', 'любовь', 'иисус']"
"Только русские когда винда виснет, но остается окно, которое можно двигать начинают этим окном рисовать.",neutral,"['только', 'русский', 'винд', 'виснуть', 'оставаться', 'окно', 'который', 'двигать', 'начинать', 'этот', 'окно', 'рисовать']","['только', 'русский', 'винд', 'виснуть', 'оставаться', 'окно', 'который', 'двигать', 'начинать', 'этот', 'окно', 'рисовать']"
"Отвезла сына в 8 утра в военкомат. Он счастлив до безумия. У меня - полный вакуум, пустота. 😢 И еще этому предшествовал месяц жесткой депрессии. Пугает неизвестность: какой регион, какие войска, что там за командный состав, что там ждет сына...Отсюда и такие эмоции. Он ведь мой ребенок! И неважно сколько ему лет. Я его растила, воспитывала, а теперь отдаю государству, которое никого не может защитить. После работа вышла и пошла....пошла, пошла, пошла. Прямо как в фильме ""Форест Гамп"", который бежал три года неизвестно куда. Хорошо у детского садика Руси очнулась...так-то нехило протопала через полгорода.... 😞",negative,"['отвозить', 'сын', 'утро', 'военкомат', 'он', 'счастливый', 'безумие', 'полный', 'вакуум', 'пустота', 'это', 'предшествовать', 'месяц', 'жесткий', 'депрессия', 'пугать', 'неизвестность', 'регион', 'какой', 'войско', 'командный', 'состав', 'ждать', 'сын', 'отсюда', 'такой', 'эмоция', 'он', 'ребенок', 'неважно', 'сколько', 'год', 'растить', 'воспитывать', 'отдавать', 'государство', 'который', 'никто', 'защищать', 'после', 'работа', 'выходить', 'пойти', 'пойти', 'пойти', 'пойти', 'прямо', 'фильм', 'форест', 'гамп', 'который', 'бежать', 'год', 'неизвестно', 'хорошо', 'детский', 'садик', 'русь', 'очнуться', 'нехилый', 'протопать', 'полгорода']","['отвозить', 'сын', 'утро', 'военкомат', 'он', 'счастливый', 'безумие', 'полный', 'вакуум', 'пустота', 'это', 'предшествовать', 'месяц', 'жесткий', 'депрессия', 'пугать', 'неизвестность', 'регион', 'какой', 'войско', 'командный', 'состав', 'ждать', 'сын', 'отсюда', 'такой', 'эмоция', 'он', 'ребенок', 'неважно', 'сколько', 'год', 'растить', 'воспитывать', 'отдавать', 'государство', 'который', 'никто', 'защищать', 'после', 'работа', 'выходить', 'пойти', 'пойти', 'пойти', 'пойти', 'прямо', 'фильм', 'форест', 'гамп', 'который', 'бежать', 'год', 'неизвестно', 'хорошо', 'детский', 'садик', 'русь', 'очнуться', 'нехилый', 'протопать', 'полгорода']"
Опять влюбилась. Опять в мужа! Опять в своего! Оказывается он - самый лучший!,positive,"['опять', 'влюбляться', 'опять', 'муж', 'опять', 'свой', 'оказываться', 'самый', 'хороший']","['опять', 'влюбляться', 'опять', 'муж', 'опять', 'свой', 'оказываться', 'самый_хороший']"
..за окном сейчас настоящая «шопеновская» погода....,neutral,"['окно', 'настоящий', 'шопеновский', 'погода']","['окно', 'настоящий', 'шопеновский', 'погода']"
"ДА!!! Поздравил всех друзей вК! И не говорите после этого, что у вас не было времени...",neutral,"['да', 'поздравлять', 'друг', 'вК', 'говорить', 'время']","['да', 'поздравлять', 'друг', 'вК', 'говорить', 'время']"
"А между тем, оказалось, что в стране 35% людей дружат с головой, и это совсем не мало. А если отбросить нацменов с их 120%-ной поддержкой Путина и считать только по русским, то 35%, пожалуй, возрастут до 50%. Несмотря на то, что выборы сделаны по сути безальтернативными, несмотря на прессинг пропутинских СМИ, половина русских сделала правильный выбор. (С)",neutral,"['оказываться', 'страна', 'человек', 'дружить', 'голова', 'это', 'мало', 'отбрасывать', 'нацмен', 'ной', 'поддержка', 'путин', 'считать', 'русский', 'пожалуй', 'возрастать', 'несмотря', 'выборы', 'сделать', 'суть', 'безальтернативный', 'несмотря', 'прессинг', 'пропутинский', 'сми', 'половина', 'русский', 'сделать', 'правильный', 'выбор']","['оказываться', 'страна', 'человек', 'дружить', 'голова', 'это', 'мало', 'отбрасывать', 'нацмен', 'ной', 'поддержка', 'путин', 'считать', 'русский', 'пожалуй', 'возрастать', 'несмотря', 'выборы', 'сделать', 'суть', 'безальтернативный', 'несмотря', 'прессинг', 'пропутинский', 'сми', 'половина', 'русский', 'сделать', 'правильный', 'выбор']"
скажите люди принадлежат друг другу или нет?,neutral,"['сказать', 'человек', 'принадлежать', 'друг', 'друг']","['сказать', 'человек', 'принадлежать', 'друг_друг']"
"Такие вот они неисправимые.

Опять фанатичные сикхи устроили в Амритсаре рубку на мечах. А ведь собирались просто мирно отметить 30-ю годовщину еще одной резни произошедшей в 1984 г.

Пол сотни человек госпитализированно.",neutral,"['такой', 'неисправимый', 'опять', 'фанатичный', 'сикх', 'устраивать', 'амритсар', 'рубка', 'меч', 'собираться', 'просто', 'мирно', 'отмечать', 'годовщина', 'один', 'резня', 'происходить', 'пол', 'сотня', 'человек', 'госпитализированный']","['такой', 'неисправимый', 'опять', 'фанатичный', 'сикх', 'устраивать', 'амритсар', 'рубка', 'меч', 'собираться', 'просто', 'мирно', 'отмечать', 'годовщина', 'один', 'резня', 'происходить', 'пол', 'сотня', 'человек', 'госпитализированный']"
скучаю по тебе очень!*,positive,"['скучать', 'ты', 'очень']","['скучать_ты', 'очень']"
и эти на особом счету,neutral,"['особый', 'счет']","['особый', 'счет']"
"Ох уж эти выматывающие отпуска! Можно сразу брать больничный. 
А в Кемере прекрасно. [id53184327|Яна] подтвердит.",neutral,"['ох', 'выматывать', 'отпуск', 'можно', 'сразу', 'брать', 'больничный', 'кемер', 'прекрасно', 'подтвердить']","['ох', 'выматывать', 'отпуск', 'можно', 'сразу', 'брать', 'больничный', 'кемер', 'прекрасно', 'подтвердить']"
"всю жизнь считаю себя очень сильным человеком, но в такие моменты не могу сдержать слез.",negative,"['жизнь', 'считать', 'очень', 'сильный', 'человек', 'такой', 'момент', 'мочь', 'сдерживать', 'слеза']","['жизнь', 'считать', 'очень', 'сильный', 'человек', 'такой', 'момент', 'мочь', 'сдерживать', 'слеза']"
"Интересно, почему, когда я пишу всякую хрень по работе, я хомячу без остановок. А когда я читаю интересные книжки, я могу вообще не есть. Только дети приходят и требуют обедов и ужинов. Отличный день. Разгрузочный.",positive,"['интересно', 'почему', 'писать', 'всякий', 'хрень', 'работа', 'хомяч', 'остановка', 'читать', 'интересный', 'книжка', 'мочь', 'вообще', 'только', 'ребенок', 'приходить', 'требовать', 'обед', 'ужин', 'отличный', 'день', 'разгрузочный']","['интересно', 'почему', 'писать', 'всякий', 'хрень', 'работа', 'хомяч', 'остановка', 'читать', 'интересный', 'книжка', 'мочь', 'вообще', 'только', 'ребенок', 'приходить', 'требовать', 'обед', 'ужин', 'отличный', 'день', 'разгрузочный']"
"[id147021620|Dz Free] [id21854659|Yassine Sakhi] [id14380523|Mohamed Arban] [id44221102|Mushtaq Al-Azazi] 

Разве ты не знал, что (только одному) Аллаху (принадлежит) (вся) власть над небесами и землей [все принадлежит только Аллаху и Он полностью управляет всем этим и каждое даже самое малое событие в этом мире происходит только по Его знанию и по Его воле]? И нет у вас, кроме Аллаха ни покровителя (который заступился бы за вас), ни помощника (который защитил бы вас от наказания Аллаха). [2:107- Коран]",neutral,"['разве', 'знать', 'один', 'аллах', 'принадлежать', 'весь', 'власть', 'небо', 'земля', 'принадлежать', 'аллах', 'он', 'полностью', 'управлять', 'весь', 'этот', 'каждый', 'самый', 'малый', 'событие', 'мир', 'происходить', 'его', 'знание', 'его', 'воля', 'кроме', 'аллах', 'покровитель', 'который', 'заступаться', 'помощник', 'который', 'защищать', 'наказание', 'аллах', 'коран']","['разве', 'знать', 'один', 'аллах', 'принадлежать', 'весь', 'власть', 'небо', 'земля', 'принадлежать', 'аллах', 'он', 'полностью', 'управлять', 'весь', 'этот', 'каждый', 'самый', 'малый', 'событие', 'мир', 'происходить', 'его', 'знание', 'его', 'воля', 'кроме', 'аллах', 'покровитель', 'который', 'заступаться', 'помощник', 'который', 'защищать', 'наказание', 'аллах', 'коран']"
Малая ну не тупи ),neutral,"['малый', 'тупить']","['малый', 'тупить']"
"Мне и тебя жалко и себя.
Но если его ещё кто то возьмёт, я умру...",negative,"['я', 'жалко', 'но', 'еще', 'взять', 'умирать']","['я', 'жалко', 'но', 'еще', 'взять', 'умирать']"
разве глотать для тебя проблема?,neutral,"['глотать', 'проблема']","['глотать', 'проблема']"
Я Люблю тебя......извини меня......,positive,"['любить', 'извинять']","['любить', 'извинять']"
"как прийти в себя,если 40 минут пришлось слушать гуфа и прочую поеботу?",negative,"['приходить', 'минута', 'приходиться', 'слушать', 'гуфа', 'прочий', 'поебот']","['приходить', 'минута', 'приходиться', 'слушать', 'гуфа', 'прочий', 'поебот']"
Сессия закрыта!,positive,"['сессия', 'закрывать']",['сессия_закрывать']
"Куда мир катится?все мужики как мужики,а меня на девчонок тянет!",neutral,"['куда', 'мир', 'катиться', 'мужик', 'мужик', 'девчонка', 'тянуть']","['куда', 'мир', 'катиться', 'мужик', 'мужик', 'девчонка', 'тянуть']"
Это Кулой детка....,neutral,"['это', 'кулый', 'детка']","['это', 'кулый', 'детка']"
"Дорога в никуда. Здесь нет чувства радости, счастья, боли, сострадания, а только лишь пустота, которую ты пытаешься заполнить.",negative,"['дорога', 'никуда', 'здесь', 'чувство', 'радость', 'счастие', 'боль', 'сострадание', 'лишь', 'пустота', 'который', 'пытаться', 'заполнять']","['дорога', 'никуда', 'здесь', 'чувство', 'радость', 'счастие', 'боль', 'сострадание', 'лишь', 'пустота', 'который', 'пытаться', 'заполнять']"
"Вот кстати нашол фото этих приспешников Люцифера, как и его самого....Правда они чем-то похожи!?",neutral,"['вот', 'кстати', 'нашол', 'фото', 'этот', 'приспешник', 'люцифер', 'сам', 'правда', 'похожий']","['вот', 'кстати', 'нашол', 'фото', 'этот', 'приспешник', 'люцифер', 'сам', 'правда', 'похожий']"
Эй черный)))позвоните мне БЛЯТЬ суки!!!!),negative,"['эй', 'черный', 'позвонить', 'блять', 'сука']","['эй', 'черный', 'позвонить', 'блять', 'сука']"
"Не тужи, дорогой, и не ахай,  Жизнь держи, как коня, за узду,  Посылай всех и каждого на хуй,  Чтоб тебя не послали в пизду! (Есенин С. А)",neutral,"['не', 'тужить', 'дорогой', 'ахать', 'жизнь', 'держать', 'конь', 'узда', 'посылать', 'каждый', 'хуй', 'чтоб', 'посылать', 'пизда', 'есенин']","['не', 'тужить', 'дорогой', 'ахать', 'жизнь', 'держать', 'конь', 'узда', 'посылать', 'каждый', 'хуй', 'чтоб', 'посылать', 'пизда', 'есенин']"
"Любимую подругу не целуешь при встрече и не называешь зайкой, а говоришь тупица и машешь рукой, а она всё равно продолжает любить тебя, называя курицей.",neutral,"['любимый', 'подруга', 'целовать', 'встреча', 'называть', 'зайка', 'говорить', 'тупица', 'махать', 'рука', 'все', 'равный', 'продолжать', 'любить', 'называть', 'курица']","['любимый', 'подруга', 'целовать', 'встреча', 'называть', 'зайка', 'говорить', 'тупица', 'махать', 'рука', 'все_равный', 'продолжать', 'любить', 'называть', 'курица']"
"12.12.14 последний учебный день, последняя пара...
Будут говорить:
 - Надо допуск до сессии получить
 - Надо сдать сессию
 - Еще начитка будет
 - ГОСы сдай 
 - Диплом напиши
 - Диплом защити
 Это все фигня и просто разговоры. Дорогие мои, это был последний день, последняя пара... Такого больше не будет!!!",neutral,"['последний', 'учебный', 'день', 'последний', 'пара', 'быть', 'говорить', 'надо', 'допуск', 'сессия', 'получать', 'надо', 'сдавать', 'сессия', 'еще', 'начиток', 'гос', 'сдавать', 'диплом', 'написать', 'диплом', 'защищать', 'это', 'фигня', 'просто', 'разговор', 'дорогой', 'мой', 'это', 'последний', 'день', 'последний', 'пара', 'такой']","['последний', 'учебный', 'день', 'последний', 'пара', 'быть', 'говорить', 'надо', 'допуск', 'сессия', 'получать', 'надо', 'сдавать', 'сессия', 'еще', 'начиток', 'гос', 'сдавать', 'диплом', 'написать', 'диплом', 'защищать', 'это', 'фигня', 'просто', 'разговор', 'дорогой', 'мой', 'это', 'последний', 'день', 'последний', 'пара', 'такой']"
Прощание в пятницу с 13.00 до 14.00 в морге 1-ой Городской больницы...,neutral,"['прощание', 'пятница', 'морг', 'ой', 'городской', 'больница']","['прощание', 'пятница', 'морг', 'ой', 'городской', 'больница']"
Ещё какая-то штука тоже сдохла,neutral,"['еще', 'штука', 'сдыхать']","['еще', 'штука', 'сдыхать']"
"Она врала легко и смело--
С лица необщим  выраженьем!
Бедняжка с детства не владела
Ни вычитаньем , ни сложеньем!",neutral,"['она', 'врать', 'легко', 'смело', 'лицо', 'необщий', 'выражение', 'бедняжка', 'детство', 'владеть', 'ни', 'вычитание', 'сложение']","['она', 'врать', 'легко', 'смело', 'лицо', 'необщий', 'выражение', 'бедняжка', 'детство', 'владеть', 'ни', 'вычитание', 'сложение']"
Если ты когда нибудь будешь скучать по мне... Дай знать.,neutral,"['если', 'быть', 'скучать', 'давать', 'знать']","['если', 'быть', 'скучать', 'давать', 'знать']"
°Первое утро 2016 Года (3 часа дня)...Весь год бы так спать°,positive,"['первый', 'утро', 'год', 'час', 'день', 'весь', 'год', 'спать']","['первый', 'утро', 'год', 'час', 'день', 'весь', 'год', 'спать']"
"О.В. напоминает злую старушку из фильма ""Дюплекс"".",neutral,"['напоминать', 'злой', 'старушка', 'фильм', 'дюплекс']","['напоминать', 'злой', 'старушка', 'фильм', 'дюплекс']"
"Когда что-то кончается в жизни, будь то плохое или хорошее, остается пустота. Но пустота, оставшаяся после плохого, заполняется сама собой. Пустоту же после хорошего можно заполнить только отыскав что-то лучшее...
Эрнст Хемингуэй",neutral,"['когда', 'кончаться', 'жизнь', 'быть', 'плохой', 'хороший', 'оставаться', 'пустота', 'но', 'пустота', 'оставаться', 'плохой', 'заполняться', 'сам', 'себя', 'пустота', 'хороший', 'заполнять', 'отыскивать', 'хороший', 'эрнст', 'хемингуэй']","['когда', 'кончаться', 'жизнь', 'быть', 'плохой_хороший', 'оставаться', 'пустота', 'но', 'пустота', 'оставаться', 'плохой', 'заполняться', 'сам_себя', 'пустота', 'хороший', 'заполнять', 'отыскивать', 'хороший', 'эрнст', 'хемингуэй']"
есле ты моя тётка то они тебе внуки!(внатуре),neutral,"['есла', 'тетка', 'ты', 'внук', 'внатура']","['есла', 'тетка', 'ты', 'внук', 'внатура']"
Что ж я маленьким не сдох [2].,negative,"['что', 'маленький', 'сдыхать']","['что', 'маленький', 'сдыхать']"
"Братья и сетсры! 11 лет в стране уже не происходила смена власти. Как вы думаете, хорошо это или плохо? Как вы оцениваете результаты прошедшего десятилетия?",neutral,"['брат', 'сетсра', 'год', 'страна', 'происходить', 'смена', 'власть', 'как', 'думать', 'это', 'плохо', 'как', 'оценивать', 'результат', 'прошедший', 'десятилетие']","['брат', 'сетсра', 'год', 'страна', 'происходить', 'смена', 'власть', 'как', 'думать', 'это', 'плохо', 'как', 'оценивать', 'результат', 'прошедший', 'десятилетие']"
"о смелости вышедших на улицы россиян
",neutral,"['смелость', 'выходить', 'улица', 'россиянин']","['смелость', 'выходить_улица', 'россиянин']"
Лето пляж Ланжерон. Зима на этом же месте Ланжерон,neutral,"['лето', 'пляж', 'ланжерон', 'зима', 'место', 'ланжерон']","['лето', 'пляж', 'ланжерон', 'зима', 'место', 'ланжерон']"
"здравствуй, Пиздец. я знала, что ты придешь… чай будешь?",negative,"['здравствовать', 'пиздец', 'знать', 'прийти', 'чай', 'быть']","['здравствовать', 'пиздец', 'знать', 'прийти', 'чай', 'быть']"
"Своих друзей не выбираю
И полагаюсь лишь на сердце.
Я в душу дверь не закрываю,
Впущу, кто захотел согреться.

Кто появился без корысти,
Без кривотолков и без злобы,
С открытою душой и чистой,
Со словом искренним и добрым.

Они поймут меня любую,
И примут все мои причуды,
Мы вместе, трудности минуя,
Ещё родней и ближе будем.

И друг за друга мы готовы,
Вступиться, если обижают,
Оружие одно лишь - слово,
Мы им богатство измеряем...",neutral,"['свой', 'друг', 'выбирать', 'полагаться', 'лишь', 'сердце', 'душа', 'дверь', 'закрывать', 'впускать', 'захотеть', 'согреваться', 'кто', 'появляться', 'корысть', 'без', 'кривотолки', 'злоба', 'открытый', 'душа', 'чистый', 'со', 'слово', 'искренний', 'добрый', 'они', 'понимать', 'любой', 'принимать', 'мой', 'причуда', 'мы', 'вместе', 'трудность', 'миновать', 'еще', 'родня', 'близко', 'быть', 'друг', 'друг', 'готовый', 'вступаться', 'обижать', 'оружие', 'один', 'лишь', 'слово', 'мы', 'богатство', 'измерять']","['свой', 'друг', 'выбирать', 'полагаться', 'лишь', 'сердце', 'душа', 'дверь', 'закрывать', 'впускать', 'захотеть', 'согреваться', 'кто', 'появляться', 'корысть', 'без', 'кривотолки', 'злоба', 'открытый', 'душа', 'чистый', 'со', 'слово', 'искренний', 'добрый', 'они', 'понимать', 'любой', 'принимать', 'мой', 'причуда', 'мы', 'вместе', 'трудность', 'миновать', 'еще', 'родня', 'близко', 'быть', 'друг_друг', 'готовый', 'вступаться', 'обижать', 'оружие', 'один', 'лишь', 'слово', 'мы', 'богатство', 'измерять']"
утро. гриша. подъем. хватит смотреть видео1,neutral,"['утро', 'гриша', 'подъем', 'хватить', 'смотреть', 'видео']","['утро', 'гриша', 'подъем', 'хватить', 'смотреть', 'видео']"
Когда уже разгонят этих всех экстремистов ??,negative,"['когда', 'разгонять', 'этот', 'экстремист']","['когда', 'разгонять', 'этот', 'экстремист']"
Этот ролик вызывает почему-то неадекватнейшую реакцию свидомитов... К чему бы это? ,neutral,"['этот', 'ролик', 'вызывать', 'почему', 'неадекватный', 'реакция', 'свидомит', 'что', 'это']","['этот', 'ролик', 'вызывать', 'почему', 'неадекватный', 'реакция', 'свидомит', 'что', 'это']"
 - это сделали не люди.,negative,"['это', 'сделать', 'человек']","['это', 'сделать', 'человек']"
всего 7 миллионов а за ними жизни...как минимум 21 миллиона.....,neutral,"['миллион', 'они', 'жизнь', 'минимум', 'миллион']","['миллион', 'они', 'жизнь', 'минимум', 'миллион']"
"Здраствуйте, может это чушь, как говорил Максим, но у меня совсем другая ситуация. После 5 месяцев отношений, где в то время он 3 раза предлагал расстаться, будто мне от того что он уйдет будет лучше и я найду за него лучше. Сегодня он мне позвонил и сказал, что хочет расстаться, но сказал что любит очень сильно, и может если что то у него уладится у нас будет все хорошо как прежде.
Меня болело и болит что-то внутри, никогда так не было и жутко хочется плакать, что это? И что мне делать с ним, что писать, стоит ли ждать. Я не хочу без него, что мне делать, подскажите, не игнорируйте! Спасибо за внимание, буду ждать ответа.",neutral,"['здраствовать', 'это', 'чушь', 'говорить', 'максим', 'другой', 'ситуация', 'после', 'месяц', 'отношение', 'время', 'раз', 'предлагать', 'расставаться', 'уходить', 'находить', 'сегодня', 'позвонить', 'сказать', 'хотеть', 'расставаться', 'сказать', 'любить', 'очень', 'сильно', 'улаживаться', 'прежде', 'я', 'болеть', 'болеть', 'внутри', 'жутко', 'хотеться', 'плакать', 'это', 'делать', 'писать', 'стоять', 'ждать', 'хотеть', 'делать', 'подсказывать', 'игнорировать', 'спасибо', 'внимание', 'быть', 'ждать', 'ответ']","['здраствовать', 'это', 'чушь', 'говорить', 'максим', 'другой', 'ситуация', 'после', 'месяц', 'отношение', 'время', 'раз', 'предлагать', 'расставаться', 'уходить', 'находить', 'сегодня', 'позвонить', 'сказать', 'хотеть', 'расставаться', 'сказать', 'любить', 'очень_сильно', 'улаживаться', 'прежде', 'я', 'болеть', 'болеть', 'внутри', 'жутко', 'хотеться', 'плакать', 'это', 'делать', 'писать', 'стоять', 'ждать', 'хотеть', 'делать', 'подсказывать', 'игнорировать', 'спасибо', 'внимание', 'быть', 'ждать', 'ответ']"
"В том месте на карте, где находится известный полуостров, нужно было написать ""Клятi москалi"", а это уже хуже чем банальное ""нелюди"" ;) Отстают авторы ;)",negative,"['место', 'карта', 'находиться', 'известный', 'полуостров', 'нужно', 'написать', 'клясть', 'москал', 'это', 'плохо', 'банальный', 'нелюди', 'отставать', 'автор']","['место', 'карта', 'находиться', 'известный', 'полуостров', 'нужно', 'написать', 'клясть', 'москал', 'это', 'плохо', 'банальный', 'нелюди', 'отставать', 'автор']"
"обидно, когда с людьми, которые раньше играли в твоей жизни огромную роль, перестаешь общаться так как раньше. еще обиднее осознавать, что, в принципе, их это не особо волнует.",negative,"['обидно', 'человек', 'который', 'рано', 'играть', 'твой', 'жизнь', 'огромный', 'роль', 'переставать', 'общаться', 'рано', 'обидно', 'осознавать', 'принцип', 'это', 'особо', 'волновать']","['обидно', 'человек_который', 'рано', 'играть', 'твой', 'жизнь', 'огромный', 'роль', 'переставать', 'общаться', 'рано', 'обидно', 'осознавать', 'принцип', 'это', 'особо', 'волновать']"
"сейчас бы просто прижаться к тебе и сказать, как сильно я всё это время скучала.©",positive,"['просто', 'прижиматься', 'ты', 'сказать', 'сильно', 'весь', 'этот', 'время', 'скучать']","['просто', 'прижиматься', 'ты', 'сказать', 'сильно', 'весь', 'этот', 'время', 'скучать']"
"Да, жизнь одна. Но именно она определит ваше дальнейшее существование, будь вы верующий или нет. Так почему бы не прожить ее руководствуясь принципами добра а не насилия и разврата? Ведь расплата будет долгой, ой какой долгой...",neutral,"['да', 'жизнь', 'один', 'но', 'именно', 'определять', 'ваш', 'дальнейший', 'существование', 'быть', 'верующий', 'так', 'почему', 'проживать', 'руководствоваться', 'принцип', 'добро', 'насилие', 'разврат', 'ведь', 'расплата', 'долгий', 'ой', 'долгий']","['да', 'жизнь', 'один', 'но', 'именно', 'определять', 'ваш', 'дальнейший', 'существование', 'быть', 'верующий', 'так', 'почему', 'проживать', 'руководствоваться', 'принцип', 'добро', 'насилие', 'разврат', 'ведь', 'расплата', 'долгий', 'ой', 'долгий']"
Осень тебе,neutral,"['осень', 'ты']","['осень', 'ты']"
я всёравно тебе люблю несмотря на всё.,positive,"['всеравно', 'ты', 'любить', 'несмотря', 'все']","['всеравно', 'ты', 'любить', 'несмотря', 'все']"
"Я безумно люблю своего мальчика ❤ 😚 😍. Я никому его не собираюсь отдавать 😁. Он-мой 👊 😘.Малыш, ты прости меня за то что я ревную тебя 😞, просто я очень боюсь тебя потерять 😩. Если это случится, я не знаю как я буду жить без тебя 😞.Просто не обижайся на свою маленькую♥",positive,"['безумно', 'любить', 'свой', 'мальчик', 'никто', 'собираться', 'отдавать', 'он', 'малыш', 'прощать', 'ревновать', 'просто', 'очень', 'бояться', 'потерять', 'если', 'это', 'случаться', 'знать', 'быть', 'жить', 'просто', 'обижаться', 'маленький']","['безумно', 'любить', 'свой', 'мальчик', 'никто', 'собираться', 'отдавать', 'он', 'малыш', 'прощать', 'ревновать', 'просто', 'очень', 'бояться', 'потерять', 'если', 'это', 'случаться', 'знать', 'быть', 'жить', 'просто', 'обижаться', 'маленький']"
"Ну и что,я вернулся,типо меня можно поздравить.......бред б**ть......",negative,"['ну', 'вернуться', 'типо', 'поздравлять', 'бред', 'ть']","['ну', 'вернуться', 'типо', 'поздравлять', 'бред', 'ть']"
Сейчас не хватает тех дней и тебя сестричка ( 2005 год,negative,"['сейчас', 'хватать', 'тот', 'день', 'сестричка', 'год']","['сейчас', 'хватать', 'тот', 'день', 'сестричка', 'год']"
"мужчины, где ваше ДОСТОИНСТВО.. ???
почему незнакомые мужики на улице считают, что можно обматерить женщину, которая не сделала ничего плохого! но вот притормозила перед пешеходным переходом... и ее машина посмела оказаться в этот момент перед его авто. Так какое право имеет сосунок на инфинити оскорблять девушку, которая по его мнению задела его чувство достоинства (???), заставив его притормозить и ехать медленнее... Что же происходит с нашими мужчинами, которые считают достоинством чувство собственного комфорта, ради чего можно оскорбить женщину???? ...таким мужчинам покоряются только продажные женщины, коль они не научились уважать, а только покупать... и за это они в обиде на весь женский пол. Ну дак без истинного достоинства то мужчину разве полюбить можно?",negative,"['мужчина', 'ваш', 'достоинство', 'почему', 'незнакомый', 'мужик', 'улица', 'считать', 'обматерить', 'женщина', 'который', 'сделать', 'плохой', 'притормаживать', 'пешеходный', 'переход', 'машина', 'посметь', 'оказываться', 'момент', 'авто', 'так', 'какой', 'право', 'иметь', 'сосунок', 'инфинити', 'оскорблять', 'девушка', 'который', 'мнение', 'задеть', 'чувство', 'достоинство', 'заставлять', 'притормаживать', 'ехать', 'медленно', 'что', 'происходить', 'наш', 'мужчина', 'который', 'считать', 'достоинство', 'чувство', 'собственный', 'комфорт', 'ради', 'оскорблять', 'женщина', 'такой', 'мужчина', 'покоряться', 'продажный', 'женщина', 'коль', 'научаться', 'уважать', 'покупать', 'это', 'обида', 'весь', 'женский', 'пол', 'ну', 'дак', 'истинный', 'достоинство', 'мужчина', 'полюбить']","['мужчина', 'ваш', 'достоинство', 'почему', 'незнакомый', 'мужик', 'улица', 'считать', 'обматерить', 'женщина', 'который', 'сделать', 'плохой', 'притормаживать', 'пешеходный', 'переход', 'машина', 'посметь', 'оказываться', 'момент', 'авто', 'так', 'какой', 'право', 'иметь', 'сосунок', 'инфинити', 'оскорблять', 'девушка', 'который', 'мнение', 'задеть', 'чувство', 'достоинство', 'заставлять', 'притормаживать', 'ехать', 'медленно', 'что', 'происходить', 'наш', 'мужчина', 'который', 'считать', 'достоинство', 'чувство', 'собственный', 'комфорт', 'ради', 'оскорблять', 'женщина', 'такой', 'мужчина', 'покоряться', 'продажный', 'женщина', 'коль', 'научаться', 'уважать', 'покупать', 'это', 'обида', 'весь', 'женский', 'пол', 'ну', 'дак', 'истинный', 'достоинство', 'мужчина', 'полюбить']"
"""...Ну что ты, надо ли кого то? 
 
Свобода это же так много...""",neutral,"['ну', 'кто', 'свобода', 'это']","['ну', 'кто', 'свобода', 'это']"
Обычный день в России),neutral,"['обычный', 'день', 'россия']","['обычный', 'день', 'россия']"
